customer_state,mean,count
RR,28.975609756097562,41
AP,26.73134328358209,67
AM,25.986206896551725,145
AL,24.04030226700252,397
PA,23.316067653276956,946
MA,21.11715481171548,717
SE,21.029850746268657,335
CE,20.817826426896012,1279
AC,20.6375,80
PB,19.95357833655706,517
PI,18.993697478991596,476
RO,18.91358024691358,243
BA,18.86640049140049,3256
RN,18.824894514767934,474
PE,17.965473948524796,1593
MT,17.59367945823928,886
TO,17.226277372262775,274
ES,15.331829573934836,1995
MS,15.191155492154065,701
GO,15.15074092999489,1957
RJ,14.848582995951418,12350
RS,14.819236526946108,5344
SC,14.475183305132544,3546
DF,12.509134615384616,2080
MG,11.542187775233398,11354
PR,11.52671135486492,4923
SP,8.298093544722676,40494
